symbol,address,price_usd,multiplier,phantom_raw,graduation_raw
TSLA,0x322F0929c4625eD5bAd873c95208D54E1c003b2d,358.08,1,11170688000000000000,27926720000000000000
EWT,0x1c690498150252222C275A5CEd69d3A6b1f52D5E,108.4,1,36900369000000000000,92250923000000000000
FTNT,0x3FB8976980d486084b2eb4a404BD12e72823958f,171.77,1,23286953000000000000,58217384000000000000
HPE,0x59dd09d4900C2E4B5F75b7c0d4E6796fcc234Cb1,56.68,1.001716957939305,70450669000000000000,176126673000000000000
VSAT,0x26dCbfb34FC83CAbD6990f449674efDc6097fF85,70.95,1,56377731000000000000,140944327000000000000
ADBE,0x232B8ed6377BE97813853B0Ac104c4Cda8378d1B,250.5,1,15968064000000000000,39920160000000000000
XNDU,0xA8eB3BCcbf2017eE7CBfb652eB51CF2E1B153289,7.5,1,533333333000000000000,1333333333000000000000
DDOG,0x27c99fBde9D0d2AA4f4Bfb4943f237843DdF6958,230.79,1,17331773000000000000,43329434000000000000
RDW,0x92Ef19E82bD8fF36661DE838D5eaE7e5CEF0EfFE,10.79,1,370713624000000000000,926784059000000000000
BE,0x822CC93fFD030293E9842c30BBD678F530701867,270.02,1,14813718000000000000,37034294000000000000
DJT,0x1D11f0496982706C5e14A514D4E79F2e6BdE4516,8.55,1,467836257000000000000,1169590643000000000000
OKLO,0x8B2f88497f15A18E9D4FFa1a8fFB8538399aE774,35.62,1,112296463000000000000,280741157000000000000
ZM,0x44c4F142009036cF477eD2d09932051843137CF1,91.94,1,43506635000000000000,108766587000000000000
FLNC,0x282e87451E10fA6679BC7D76C69BE44cD3fC777C,9.05,1,441988950000000000000,1104972376000000000000
SLV,0x411eFb0E7f985935DAec3D4C3ebaEa0d0AD7D89f,57.05,1,70113935000000000000,175284838000000000000
SOFI,0x98E75885157C80992A8D41b696D8c9C6Fb30A926,16.84,1,237529691000000000000,593824228000000000000
DOCN,0xc02f12B9fe9E707079EC0d546f3050d3F6C1F8bD,123.76,1,32320621000000000000,80801551000000000000
WULF,0x348Be1A8663f15edDe5CDf8A96BB69078f7aB6Fd,15.39,1,259909032000000000000,649772580000000000000
